X,Real,Imaginary
14.91199098,-0.002905453,0.004370292
14.91046559,-0.002912141,0.004389469
14.90894019,-0.002845495,0.004287976
14.9074148,-0.002864169,0.004289095
14.90588941,-0.002926417,0.004385449
14.90436402,-0.002837377,0.004356071
14.90283863,-0.00283166,0.004353002
14.90131324,-0.002826262,0.004295336
14.89978785,-0.002849456,0.004317764
14.89826246,-0.002852818,0.004254418
14.89673707,-0.002831545,0.004291671
14.89521168,-0.002843724,0.004258865
14.89368628,-0.002859474,0.004176747
14.89216089,-0.003056392,0.004305811
14.8906355,-0.002906241,0.004269139
14.88911011,-0.002941706,0.004388804
14.88758472,-0.002955902,0.004419776
14.88605933,-0.002906221,0.004358395
14.88453394,-0.002775536,0.004351604
14.88300855,-0.002813567,0.004358654
14.88148316,-0.00297782,0.004292244
14.87995776,-0.002886507,0.004416601
14.87843237,-0.002881599,0.004314004
14.87690698,-0.002852237,0.004286372
14.87538159,-0.002922788,0.004498369
14.8738562,-0.002818533,0.004282937
14.87233081,-0.002886893,0.004336861
14.87080542,-0.002829087,0.004342909
14.86928003,-0.002826236,0.004351183
14.86775464,-0.002912213,0.004355189
14.86622925,-0.002914181,0.004359251
14.86470385,-0.002906194,0.004344679
14.86317846,-0.002875623,0.004433478
14.86165307,-0.002843495,0.004300102
14.86012768,-0.002747162,0.004343316
14.85860229,-0.002874587,0.004466895
14.8570769,-0.002779207,0.004265183
14.85555151,-0.002922218,0.004304684
14.85402612,-0.002907118,0.00433349
14.85250073,-0.002885361,0.004212189
14.85097533,-0.002855149,0.004511304
14.84944994,-0.002802969,0.004329853
14.84792455,-0.002817052,0.004319457
14.84639916,-0.002894617,0.004377039
14.84487377,-0.002767048,0.004301202
14.84334838,-0.002908762,0.004298278
14.84182299,-0.002866197,0.004283593
14.8402976,-0.002863872,0.004391197
14.83877221,-0.002908722,0.004324452
14.83724682,-0.002883104,0.004255445
14.83572142,-0.002881795,0.004340537
14.83419603,-0.002848992,0.004371687
14.83267064,-0.002912956,0.004315176
14.83114525,-0.00296233,0.004324194
14.82961986,-0.002904566,0.004353767
14.82809447,-0.002828036,0.004436562
14.82656908,-0.002888051,0.004391988
14.82504369,-0.002861627,0.004432288
14.8235183,-0.002810208,0.004262932
14.82199291,-0.002896296,0.00433638
14.82046751,-0.002933988,0.004368992
14.81894212,-0.00299102,0.004306093
14.81741673,-0.002839688,0.004456394
14.81589134,-0.002789193,0.004411382
14.81436595,-0.002804237,0.004505329
14.81284056,-0.002783427,0.004352564
14.81131517,-0.002880789,0.004341955
14.80978978,-0.002785207,0.004337528
14.80826439,-0.002786608,0.004209788
14.80673899,-0.002888188,0.004323052
14.8052136,-0.002928844,0.004275545
14.80368821,-0.002898744,0.004311848
14.80216282,-0.002899729,0.004362701
14.80063743,-0.002964053,0.004412144
14.79911204,-0.002842361,0.00432048
14.79758665,-0.002880837,0.004287197
14.79606126,-0.002847769,0.004432418
14.79453587,-0.002861383,0.004340596
14.79301048,-0.002836869,0.004315168
14.79148508,-0.002916573,0.004334817
14.78995969,-0.003008646,0.004300237
14.7884343,-0.002974572,0.004371543
14.78690891,-0.002913216,0.004432879
14.78538352,-0.002895105,0.004428973
14.78385813,-0.002932389,0.004394453
14.78233274,-0.002885162,0.004433644
14.78080735,-0.002929043,0.004384581
14.77928196,-0.002783478,0.004440253
14.77775657,-0.002827607,0.004383389
14.77623117,-0.002924586,0.004482873
14.77470578,-0.002752597,0.004284732
14.77318039,-0.002986262,0.004322178
14.771655,-0.002922903,0.00438415
14.77012961,-0.002847378,0.004470718
14.76860422,-0.002786716,0.004458863
14.76707883,-0.002787236,0.004361891
14.76555344,-0.002836479,0.004391949
14.76402805,-0.002877285,0.004288784
14.76250265,-0.002837541,0.004381364
14.76097726,-0.002816736,0.004260594
14.75945187,-0.002921048,0.004415508
14.75792648,-0.002953435,0.004340333
14.75640109,-0.00285482,0.004374244
14.7548757,-0.002869118,0.004367338
14.75335031,-0.002918266,0.004253619
14.75182492,-0.002850588,0.004428399
14.75029953,-0.003016862,0.004344078
14.74877414,-0.00289064,0.004402659
14.74724874,-0.002968175,0.004343334
14.74572335,-0.003010742,0.004479637
14.74419796,-0.002839206,0.004567282
14.74267257,-0.002747954,0.004409007
14.74114718,-0.002906116,0.004349533
14.73962179,-0.002769169,0.004414131
14.7380964,-0.002899201,0.004266081
14.73657101,-0.002967033,0.00438996
14.73504562,-0.002831699,0.004468854
14.73352022,-0.002867061,0.004223123
14.73199483,-0.003064681,0.004509148
14.73046944,-0.002898045,0.004407853
14.72894405,-0.002874212,0.004412759
14.72741866,-0.002944612,0.00444927
14.72589327,-0.002856924,0.004462569
